iter	Passed	Remaining
315	929	2011
316	932	2008
317	934	2004
318	937	2001
319	940	1997
320	942	1994
321	945	1991
322	948	1988
323	951	1984
324	953	1980
325	956	1976
326	958	1972
327	961	1970
328	964	1967
329	967	1963
330	969	1960
331	972	1957
332	975	1954
333	978	1951
334	981	1947
335	983	1944
336	986	1941
337	989	1937
338	992	1934
339	994	1931
340	997	1928
341	1000	1925
342	1003	1921
343	1006	1918
344	1009	1915
345	1011	1912
346	1014	1909
347	1017	1905
348	1019	1902
349	1022	1899
350	1025	1895
351	1027	1892
352	1030	1888
353	1033	1885
354	1035	1882
355	1038	1879
356	1041	1876
357	1044	1873
358	1047	1870
359	1050	1867
360	1053	1864
361	1055	1860
362	1058	1857
363	1061	1854
364	1064	1851
365	1066	1847
366	1069	1845
367	1072	1841
368	1075	1838
369	1078	1835
370	1081	1832
371	1083	1829
372	1086	1826
373	1089	1823
374	1092	1820
375	1095	1817
376	1097	1814
377	1100	1810
378	1103	1807
379	1106	1804
380	1108	1801
381	1111	1798
382	1114	1795
383	1116	1791
384	1119	1788
385	1122	1785
386	1125	1782
387	1127	1778
388	1130	1775
389	1133	1772
390	1135	1769
391	1138	1766
392	1142	1763
393	1145	1761
394	1147	1757
395	1150	1754
396	1153	1751
397	1156	1748
398	1158	1745
399	1161	1742
400	1164	1738
401	1167	1736
402	1169	1732
403	1172	1729
404	1175	1726
405	1177	1723
406	1180	1720
407	1182	1716
408	1185	1713
409	1188	1710
410	1190	1706
411	1194	1704
412	1198	1703
413	1202	1701
414	1205	1698
415	1208	1696
416	1211	1694
417	1215	1692
418	1218	1690
419	1221	1686
420	1224	1683
421	1227	1680
422	1230	1678
423	1232	1674
424	1235	1671
425	1237	1667
426	1240	1664
427	1243	1661
428	1245	1658
429	1248	1654
430	1251	1651
431	1254	1648
432	1257	1646
433	1259	1642
434	1262	1639
435	1265	1636
436	1267	1633
437	1270	1630
438	1273	1627
439	1276	1624
440	1278	1620
441	1281	1617
442	1284	1614
443	1287	1611
444	1290	1608
445	1292	1605
446	1295	1602
447	1298	1599
448	1301	1596
449	1303	1593
450	1306	1590
451	1308	1586
452	1311	1583
453	1314	1580
454	1317	1577
455	1319	1574
456	1322	1571
457	1325	1568
458	1328	1565
459	1330	1562
460	1332	1558
461	1335	1555
462	1338	1551
463	1340	1548
464	1343	1545
465	1346	1542
466	1349	1539
467	1351	1536
468	1354	1533
469	1357	1530
470	1360	1527
471	1362	1524
472	1365	1521
473	1368	1518
474	1370	1515
475	1373	1512
476	1376	1509
477	1379	1506
478	1382	1503
479	1384	1500
480	1387	1497
481	1390	1494
482	1393	1491
483	1396	1488
484	1399	1485
485	1401	1482
486	1404	1479
487	1407	1476
488	1409	1473
489	1412	1470
490	1415	1467
491	1418	1464
492	1420	1461
493	1423	1458
494	1426	1455
495	1429	1452
496	1432	1449
497	1434	1446
498	1437	1443
499	1440	1440
500	1442	1437
501	1445	1434
502	1448	1431
503	1451	1428
504	1453	1424
505	1456	1422
506	1459	1418
507	1461	1415
508	1464	1413
509	1467	1410
510	1470	1407
511	1473	1404
512	1476	1401
513	1478	1398
514	1481	1395
515	1484	1392
516	1487	1389
517	1489	1386
518	1492	1383
519	1495	1380
520	1497	1377
521	1500	1374
522	1503	1371
523	1506	1368
524	1509	1365
525	1511	1362
526	1514	1359
527	1517	1356
528	1520	1353
529	1522	1350
530	1525	1347
531	1528	1344
532	1530	1341
533	1533	1338
534	1536	1335
535	1538	1332
536	1541	1328
537	1544	1326
538	1547	1323
539	1549	1320
540	1552	1317
541	1555	1314
542	1558	1311
543	1560	1308
544	1563	1305
545	1566	1302
546	1569	1299
547	1572	1296
548	1575	1293
549	1577	1290
550	1580	1287
551	1583	1284
552	1585	1281
553	1588	1279
554	1591	1276
555	1594	1273
556	1596	1270
557	1599	1266
558	1602	1263
559	1604	1260
560	1607	1258
561	1610	1255
562	1613	1252
563	1616	1249
564	1618	1246
565	1621	1243
566	1624	1240
567	1627	1237
568	1629	1234
569	1632	1231
570	1635	1228
571	1638	1225
572	1641	1223
573	1643	1220
574	1646	1217
575	1649	1214
576	1652	1211
577	1655	1208
578	1657	1205
579	1660	1202
580	1663	1199
581	1666	1196
582	1668	1193
583	1671	1190
584	1674	1187
585	1676	1184
586	1679	1181
587	1682	1178
588	1685	1175
589	1687	1173
590	1690	1169
591	1693	1167
592	1696	1164
593	1699	1161
594	1702	1158
595	1704	1155
596	1707	1152
597	1710	1149
598	1713	1146
599	1715	1143
600	1718	1141
601	1721	1138
602	1724	1135
603	1727	1132
604	1730	1129
605	1732	1126
606	1735	1123
607	1738	1120
608	1741	1117
609	1743	1114
610	1746	1111
611	1749	1109
612	1752	1106
613	1754	1103
614	1757	1100
615	1760	1097
616	1762	1094
617	1765	1091
618	1768	1088
619	1771	1085
620	1773	1082
621	1776	1079
622	1779	1076
623	1781	1073
624	1784	1070
625	1787	1067
626	1789	1064
627	1792	1061
628	1796	1059
629	1799	1056
630	1801	1053
631	1804	1050
632	1807	1048
633	1810	1045
634	1813	1042
635	1816	1039
636	1819	1036
637	1821	1033
638	1824	1030
639	1826	1027
640	1829	1024
641	1832	1021
642	1834	1018
643	1837	1015
644	1840	1012
645	1842	1009
646	1845	1006
647	1848	1003
648	1850	1000
649	1853	998
650	1856	995
651	1858	992
652	1861	989
653	1864	986
654	1867	983
655	1870	980
656	1872	977
657	1875	974
658	1877	971
659	1880	968
660	1883	965
661	1886	963
662	1889	960
663	1891	957
664	1894	954
665	1897	951
666	1900	948
667	1903	946
668	1906	943
669	1908	940
670	1911	937
671	1914	934
672	1917	931
673	1919	928
674	1922	925
675	1925	922
676	1927	919
677	1930	916
678	1933	913
679	1936	911
680	1938	908
681	1941	905
682	1944	902
683	1947	899
684	1949	896
685	1952	893
686	1955	890
687	1958	887
688	1960	885
689	1963	882
690	1966	879
691	1969	876
692	1972	873
693	1975	871
694	1978	868
695	1980	865
696	1983	862
697	1986	859
698	1989	856
699	1991	853
700	1994	850
701	1997	848
702	2000	845
703	2003	842
704	2005	839
705	2008	836
706	2011	833
707	2014	830
708	2017	827
709	2019	824
710	2022	822
711	2025	819
712	2028	816
713	2030	813
714	2033	810
715	2036	807
716	2039	804
717	2041	801
718	2044	799
719	2047	796
720	2050	793
721	2053	790
722	2056	787
723	2058	784
724	2061	782
725	2064	779
726	2067	776
727	2070	773
728	2072	770
729	2075	767
730	2078	764
731	2081	762
732	2084	759
733	2087	756
734	2089	753
735	2092	750
736	2095	747
737	2098	744
738	2100	741
739	2103	739
740	2105	736
741	2108	733
742	2110	730
743	2113	727
744	2115	724
745	2118	721
746	2121	718
747	2123	715
748	2126	712
749	2129	709
750	2131	706
751	2134	703
752	2137	701
753	2139	698
754	2142	695
755	2145	692
756	2148	689
757	2151	686
758	2153	683
759	2156	680
760	2159	678
761	2161	675
762	2164	672
763	2167	669
764	2170	666
765	2173	663
766	2176	661
767	2179	658
768	2181	655
769	2184	652
770	2187	649
771	2190	646
772	2192	643
773	2195	641
774	2198	638
775	2200	635
776	2203	632
777	2206	629
778	2209	626
779	2212	623
780	2214	621
781	2217	618
782	2220	615
783	2222	612
784	2225	609
785	2228	606
786	2230	603
787	2233	600
788	2236	598
789	2239	595
790	2241	592
791	2244	589
792	2247	586
793	2249	583
794	2252	580
795	2255	578
796	2258	575
797	2261	572
798	2263	569
799	2266	566
800	2269	563
801	2272	560
802	2274	558
803	2277	555
804	2280	552
805	2282	549
806	2285	546
807	2288	543
808	2291	540
809	2293	538
810	2296	535
811	2299	532
812	2301	529
813	2304	526
814	2307	523
815	2309	520
816	2312	518
817	2315	515
818	2318	512
819	2321	509
820	2324	506
821	2326	503
822	2329	500
823	2332	498
824	2334	495
825	2337	492
826	2339	489
827	2342	486
828	2345	483
829	2348	480
830	2350	478
831	2353	475
832	2356	472
833	2359	469
834	2361	466
835	2364	463
836	2367	461
837	2370	458
838	2373	455
839	2375	452
840	2378	449
841	2381	446
842	2383	443
843	2386	441
844	2389	438
845	2392	435
846	2394	432
847	2397	429
848	2400	426
849	2403	424
850	2406	421
851	2408	418
852	2411	415
853	2414	412
854	2417	409
855	2419	407
856	2422	404
857	2425	401
858	2427	398
859	2430	395
860	2433	392
861	2435	389
862	2438	387
863	2441	384
864	2444	381
865	2447	378
866	2449	375
867	2452	372
868	2455	370
869	2458	367
870	2460	364
871	2463	361
872	2466	358
873	2469	355
874	2471	353
875	2474	350
876	2477	347
877	2479	344
878	2482	341
879	2485	338
880	2488	336
881	2490	333
882	2493	330
883	2496	327
884	2499	324
885	2501	321
886	2504	319
887	2507	316
888	2509	313
889	2512	310
890	2515	307
891	2518	304
892	2520	302
893	2523	299
894	2526	296
895	2528	293
896	2531	290
897	2534	287
898	2537	285
899	2539	282
900	2542	279
901	2545	276
902	2548	273
903	2551	270
904	2553	268
905	2556	265
906	2559	262
907	2562	259
908	2565	256
909	2568	254
910	2571	251
911	2573	248
912	2576	245
913	2579	242
914	2581	239
915	2584	237
916	2587	234
917	2590	231
918	2593	228
919	2596	225
920	2599	222
921	2602	220
922	2604	217
923	2607	214
924	2610	211
925	2613	208
926	2615	206
927	2618	203
928	2621	200
929	2624	197
930	2626	194
931	2629	191
932	2632	189
933	2635	186
934	2637	183
935	2640	180
936	2643	177
937	2646	174
938	2648	172
939	2651	169
940	2654	166
941	2656	163
942	2659	160
943	2662	157
944	2665	155
945	2668	152
946	2671	149
947	2674	146
948	2676	143
949	2679	141
950	2682	138
951	2684	135
952	2687	132
953	2690	129
954	2692	126
955	2695	124
956	2698	121
957	2700	118
958	2703	115
959	2707	112
960	2709	109
961	2712	107
962	2715	104
963	2717	101
964	2720	98
965	2722	95
966	2725	93
967	2728	90
968	2731	87
969	2734	84
970	2736	81
971	2739	78
972	2742	76
973	2745	73
974	2748	70
975	2750	67
976	2753	64
977	2756	61
978	2758	59
979	2761	56
980	2764	53
981	2767	50
982	2769	47
983	2772	45
984	2775	42
985	2778	39
986	2780	36
987	2783	33
988	2786	30
989	2788	28
990	2791	25
991	2794	22
992	2797	19
993	2799	16
994	2802	14
995	2805	11
996	2808	8
997	2810	5
998	2813	2
999	2816	0
